country,weight,ai_heard,ai_cncexc,aireg_us,aireg_china,aireg_eu,aireg_country
2,0.402198964194789,2,2,3,3,3,3
2,0.402198964194789,2,1,1,4,3,1
2,0.995454195155416,1,2,3,3,2,2
2,0.698239436917277,2,2,4,4,8,2
2,0.925130163168066,2,3,2,4,1,1
2,0.880661333391392,2,2,4,4,2,2
2,0.925130163168066,2,2,3,3,2,1
2,0.709820093313034,2,3,3,3,2,2
2,1.03949443672921,1,3,1,4,1,2
2,0.448692087399223,1,3,4,4,4,4
2,0.880661333391392,2,3,3,3,3,3
2,1.37045535415227,1,2,4,4,4,4
2,1.21961835491741,2,2,4,2,2,2
2,0.31014263107127,1,1,2,4,1,1
2,0.43517484011889,2,2,4,4,1,1
2,1.03750855201908,2,2,4,2,1,2
2,0.577188885344198,2,3,3,3,2,2
2,0.594493181107789,2,3,2,4,2,2
2,2.48127239251815,3,3,4,3,2,3
